title,company,location,category,total_hires,level,salary
Full Stack Developer,"Med Bill, L.L.C",Remote (Work From Home),Software & Data - IT & Telecoms,1,Mid level,salary publicised
Manager Enterprise Technical Support,Telkom Kenya Limited,Nairobi,Software & Data - IT & Telecoms,1,Entry level,salary confidential
NOC Engineer,Telkom Kenya Limited,Nairobi,Engineering & Technology - IT & Telecoms,1,Mid level,salary confidential
NOC Engineer,Telkom Kenya Limited,Mombasa,Engineering & Technology - IT & Telecoms,1,Mid level,salary confidential
Quality Assurance Senior Specialist,Telkom Kenya Limited,Nairobi,Quality Control & Assurance - IT & Telecoms,1,Senior level,salary confidential
Wellness Coordinator,Teleperfomance,Nairobi,Human Resources - IT & Telecoms,1,Mid level,salary confidential
TECHNICIAN/RIGGER,COM Twenty One (COM21) Limited,Rest of Kenya,Engineering & Technology - IT & Telecoms,1,Mid level,salary confidential
FIXED DATA ENGINEER,COM Twenty One (COM21) Limited,Nairobi,Engineering & Technology - IT & Telecoms,1,Mid level,salary confidential
Team Leader,VIVAJO GmbH,Nairobi,Management & Business Development - IT & Telecoms,1,Mid level,salary confidential
2D Illustrator,VIVAJO GmbH,Nairobi,Creative & Design - IT & Telecoms,1,Mid level,salary confidential
NETWORK TECHNICIAN,IMMIX TECHNOLOGIES,Nairobi,Engineering & Technology - IT & Telecoms,1,Mid level,salary publicised
Remote Executive Assistant – Support Top-Tier Founders in Europe & the US,RAYAI INC.,Remote (Work From Home),Admin & Office - IT & Telecoms,1,No Experience,salary publicised
Product Manager – Data & Voice,Telkom Kenya Limited,Nairobi,Product & Project Management - IT & Telecoms,1,Mid level,salary confidential
Sales Engineer,"MeshPlusPlus, Ltc.",Nairobi,Sales - IT & Telecoms,1,Mid level,salary publicised
Mobile Developer (iOS/Android),Skillmind Software Limited,Nairobi,Software & Data - IT & Telecoms,1,Unspecified,salary confidential
Odoo ERP Consultant,Skillmind Software Limited,Nairobi,Software & Data - IT & Telecoms,1,Unspecified,salary confidential
